feature,test,statistic,p_value,pd_mean,tbi_mean,pd_std,tbi_std
delta_mfcc_6_max,t-test,-4.3576669305131315,2.013673005629479e-05,10.529051588305816,11.587334592837545,2.0369399327644535,1.7011492929929848
delta2_mfcc_11_min,Mann-Whitney U,9824.0,2.0539031508052008e-05,-3.9294038195877197,-4.3533520644045804,0.84816670026415,0.6993796984045367
delta2_mfcc_4_std,Mann-Whitney U,5122.0,2.262628934326445e-05,2.42716197408777,2.7158889555933547,0.5925633875024842,0.31400700604792187
articulation_rate,Mann-Whitney U,5129.0,2.393540777676748e-05,2.2518240529012776,2.4656122282130317,0.3415770595869515,0.26771336991042005
pause_duration_mean,Mann-Whitney U,5131.0,2.4019510901085718e-05,0.21756246200658827,0.2917444388745913,0.177042881197129,0.09090441091771552
mfcc_1_mean,t-test,4.287409710807601,2.8127239530332035e-05,-376.5828272956141,-399.10734610839694,46.64592992858588,32.93807946947981
spectral_entropy_min,Mann-Whitney U,5154.0,2.9224349550100294e-05,3.6900863584702503,3.9274420974900184,0.6218675626262081,0.27921593129113953
voiced_unvoiced_ratio,Mann-Whitney U,9780.0,2.922445910787001e-05,1.4516860129024627,1.129323418617523,0.5922405198611461,0.36301682436399696
intensity_db_min,Mann-Whitney U,9776.0,3.0167575914572743e-05,32.75052022702778,32.08560768342637,16.999110346983155,1.9035480487924221
delta2_mfcc_3_mean,Mann-Whitney U,5211.0,4.5736403102827373e-05,0.0013975255477476308,0.0065899586946564885,0.010325939971428486,0.010363611164315297
delta_mfcc_1_max,Mann-Whitney U,5221.0,4.9423515087281785e-05,34.30896297253041,39.25693439159206,9.872807870794093,7.1562649434195205
rhythm_regularity,t-test,-4.136447975241746,4.9915862805785245e-05,6.096337106358643,7.195096660438542,2.206840447607501,1.8893918806041314
spectral_entropy_std,Mann-Whitney U,5275.0,7.471746362882101e-05,0.4749665146282065,0.5212527278612957,0.11099889478251034,0.06865913650700609
delta_mfcc_10_max,Mann-Whitney U,5276.0,7.528505928975374e-05,6.733997209024389,7.418466666273672,1.4639529404871054,1.1334010022103764
mfcc_12_max,t-test,-4.024805082788358,8.110910429896675e-05,23.902344305220154,30.30271048759551,14.16323307839712,9.898112081863719
mfcc_9_median,Mann-Whitney U,9648.0,8.118975690561362e-05,-8.650942465426377,-14.199879109702291,10.919318192036098,6.929927261504509
h1_a3,Mann-Whitney U,9645.0,8.304483578115435e-05,28.19162241522843,24.952608725026714,7.1452303493667095,5.688350651383253
mfcc_7_median,Mann-Whitney U,9640.0,8.622593910022054e-05,-15.93519280068348,-21.276517123992367,10.231186081092126,7.669285841865948
delta2_mfcc_12_max,Mann-Whitney U,5296.0,8.753033696421753e-05,3.7431006703471703,4.105404715497947,0.7577929750094354,0.6880618941347612
unvoiced_segment_duration_mean,Mann-Whitney U,5298.0,8.885336222003981e-05,0.16107284418257808,0.1768088491588683,0.09864913994620458,0.03977660523877173
mfcc_9_min,t-test,3.981124825870665,9.362726981559335e-05,-50.32137013298246,-56.97644950030534,14.209512585190872,11.445136837625334
delta2_mfcc_11_mean,t-test,-3.947689914318734,0.00010337836940307719,0.0004622939918621687,0.002225576674430594,0.0032213015394773298,0.003741389898672812
delta2_mfcc_6_max,Mann-Whitney U,5353.0,0.00013357600620149878,7.039838738609688,7.8084100002656465,1.3742875484128247,1.4266712506981472
mfcc_7_std,t-test,-3.879713817046206,0.0001417297698802169,16.163244827021536,17.66304636356279,3.422027432567334,2.4403414074301244
delta_mfcc_8_std,Mann-Whitney U,5370.0,0.00015122699221631073,2.5091665531925815,2.7776199744846455,0.5417598604563735,0.437119830647995
zcr_min,Mann-Whitney U,5376.5,0.00015754573860226185,0.020156592815789475,0.024078602221374045,0.007859875150767153,0.005242341249699235
mfcc_9_mean,Mann-Whitney U,9554.0,0.00016261248264687187,-9.183172073255855,-14.574400926091602,11.187789169173312,6.836110955549234
delta2_mfcc_8_mean,Mann-Whitney U,9553.0,0.0001637943556840036,0.0008615617545900201,-0.0017922829312977098,0.004547165149592964,0.005951141513719877
delta_mfcc_8_max,Mann-Whitney U,5399.0,0.00018650037995610982,8.51988978131643,9.47150950030621,1.9344318450988778,1.7408753734428184
mfcc_1_median,t-test,3.8041803164778845,0.0001865914538439755,-370.95322364385964,-391.1008467351145,45.84882984138266,35.04390241699927
delta_mfcc_11_min,Mann-Whitney U,9519.0,0.0002091366142130223,-5.969949916789474,-6.5456955232748095,1.2842382425228356,1.0337394484818128
spectral_centroid_min,Mann-Whitney U,5436.0,0.00024277496031980942,459.6158397261993,501.8237336122622,113.9535448496081,50.025358693424636
pause_duration_std,Mann-Whitney U,5440.0,0.000247353681800131,0.21088131865648968,0.24727964912707587,0.234793568397985,0.0787911522040604
chroma_stft_mean,Mann-Whitney U,5483.0,0.0003373123943257061,0.3625052186107421,0.37665876527892317,0.04402343224777797,0.028117348591771864
delta_mfcc_4_std,Mann-Whitney U,5489.0,0.00035160275991708744,4.3644798890220775,4.84779458764126,1.0729735177782176,0.5479062146373523
delta2_mfcc_1_mean,Mann-Whitney U,9439.0,0.00036645782792986187,-0.008582846280660873,-0.024097779038167937,0.035318337474904246,0.024546711021523927
h1_h2,Mann-Whitney U,9430.0,0.00038984427099748544,2.639785483646174,0.05472053557712384,6.587229176910554,5.046604989482245
voiced_segment_duration_std,Mann-Whitney U,9428.0,0.0003952272680934284,0.20643484207633023,0.15811877413078929,0.09964344274935401,0.04233204902056815
delta2_mfcc_8_std,Mann-Whitney U,5507.0,0.0003979447353707163,1.5604767597597853,1.701526752685323,0.3296905422436895,0.2531442679528686
delta_mfcc_7_median,Mann-Whitney U,5518.0,0.0004290114515505792,0.06875869114074827,0.10496211370110513,0.08248243372542764,0.07909194470453525
mfcc_12_min,Mann-Whitney U,5521.0,0.00043786906121069094,-40.69630689798245,-35.588908974503816,11.852046118874505,8.153943091873648
spectral_contrast_mean,Mann-Whitney U,9396.0,0.0004913721977865278,44.60502415678467,43.573318052826664,2.395544807919361,1.855392173633668
delta_mfcc_6_mean,Mann-Whitney U,9396.0,0.0004913721977865278,0.0011275333587060408,-0.0028709131450381682,0.010982245263778946,0.01015617956216992
mfcc_2_max,t-test,-3.542973210455943,0.0004918105525981229,204.88733124347587,211.67107443723015,16.938219959591052,12.104788070107983
mfcc_5_min,Mann-Whitney U,9377.0,0.0005583540920576763,-76.5830708541228,-84.26719814244274,18.118629063783473,17.378510830069416
formant_f2_mean,Mann-Whitney U,5579.0,0.000646501095589366,1823.062235718468,1864.3928727016682,102.29132548999496,70.21054020080545
